areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate
E06000014,York,ltla,2020-05-05,587,73
E06000014,York,ltla,2020-05-04,552,68
E06000014,York,ltla,2020-05-03,524,66
E06000014,York,ltla,2020-05-02,504,60
E06000014,York,ltla,2020-05-01,479,59
E06000014,York,ltla,2020-04-30,458,58
E06000014,York,ltla,2020-04-29,433,55
E06000014,York,ltla,2020-04-28,383,51
E06000014,York,ltla,2020-04-27,362,50
E06000014,York,ltla,2020-04-26,338,48
E06000014,York,ltla,2020-04-25,311,48
E06000014,York,ltla,2020-04-24,292,47
E06000014,York,ltla,2020-04-23,270,45
E06000014,York,ltla,2020-04-22,248,43
E06000014,York,ltla,2020-04-21,224,40
E06000014,York,ltla,2020-04-20,213,39
E06000014,York,ltla,2020-04-19,198,35
E06000014,York,ltla,2020-04-18,189,34
E06000014,York,ltla,2020-04-17,183,33
E06000014,York,ltla,2020-04-16,169,31
E06000014,York,ltla,2020-04-15,159,30
E06000014,York,ltla,2020-04-14,152,26
E06000014,York,ltla,2020-04-13,145,23
E06000014,York,ltla,2020-04-12,133,21
E06000014,York,ltla,2020-04-11,128,19
E06000014,York,ltla,2020-04-10,125,19
E06000014,York,ltla,2020-04-09,119,18
E06000014,York,ltla,2020-04-08,110,17
E06000014,York,ltla,2020-04-07,100,16
E06000014,York,ltla,2020-04-06,87,15
E06000014,York,ltla,2020-04-05,77,15
E06000014,York,ltla,2020-04-04,73,14
E06000014,York,ltla,2020-04-03,69,10
E06000014,York,ltla,2020-04-02,61,8
E06000014,York,ltla,2020-04-01,50,8
E06000014,York,ltla,2020-03-31,39,5
E06000014,York,ltla,2020-03-30,33,5
E06000014,York,ltla,2020-03-29,29,5
E06000014,York,ltla,2020-03-28,29,3
E06000014,York,ltla,2020-03-27,23,3
E06000014,York,ltla,2020-03-26,18,2
E06000014,York,ltla,2020-03-25,17,2
E06000014,York,ltla,2020-03-24,16,1
E06000014,York,ltla,2020-03-23,14,1
E06000014,York,ltla,2020-03-22,13,1
E06000014,York,ltla,2020-03-21,13,1
E06000014,York,ltla,2020-03-20,12,1
E06000014,York,ltla,2020-03-19,11,1
E06000014,York,ltla,2020-03-18,9,1
E06000014,York,ltla,2020-03-17,7,1
E06000014,York,ltla,2020-03-16,5,1
E06000014,York,ltla,2020-03-15,5,1
E06000014,York,ltla,2020-03-14,5,
E06000014,York,ltla,2020-03-13,4,
E06000014,York,ltla,2020-03-12,3,
E06000014,York,ltla,2020-03-11,3,
E06000014,York,ltla,2020-03-10,3,
E06000014,York,ltla,2020-03-09,2,
E06000014,York,ltla,2020-03-08,2,
E06000014,York,ltla,2020-03-07,2,
E06000014,York,ltla,2020-03-06,2,
E06000014,York,ltla,2020-03-05,2,
E06000014,York,ltla,2020-03-04,2,
